name,processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews,price(in Rp.),brand,ram_size,ram_type,processor_brand,storage_size,storage_type,cluster,cluster_label
Lenovo IdeaPad 3 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,4658.0,449.0,7310628.09,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
DELL Inspiron Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,256 GB SSD,15.6,4.2,435.0,56.0,7184058.39,Dell,8,DDR4,AMD,256 GB,SSD,1,Budget (School/Basic Use)
APPLE MacBook Air M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,512 GB SSD,13.3,4.7,8865.0,795.0,19833660.9,Apple,8,DDR4,Apple,512 GB,SSD,0,General Purpose
HP Chromebook x360 Intel Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB LPDDR4,Chrome OS,512 GB SSD,14.0,4.2,24.0,4.0,4909770.9,Hp,4,LPDDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,280.0,21.0,10010340.9,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Pentium Quad Core,Intel Pentium Quad Core Processor,4 GB DDR4,Windows 10,1 TB HDD,15.6,3.7,3191.0,410.0,4531950.9,Asus,4,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
acer Extensa Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.4,385.0,34.0,6043230.899999999,Acer,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
DELL Inspiron Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,17.0,3.0,9424719.9,Dell,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad 3 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,247.0,21.0,10588216.59,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS Vivobook Flip 14 (2022) Touch Panel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,14.0,4.2,10.0,1.0,14166360.9,Asus,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
DELL Inspiron Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,43.0,4.0,11389383.9,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
APPLE MacBook Air M1,Apple M1 Processor,16 GB DDR4,Mac OS Operating System,512 GB SSD,13.3,4.7,719.0,83.0,23989680.9,Apple,16,DDR4,Apple,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,1603.0,184.0,8886137.49,Lenovo,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,5145.0,564.0,11521620.9,Asus,8,DDR4,Intel,512 GB,SSD,0,General Purpose
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,395.0,43.0,12277260.9,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
Lenovo Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,453.0,38.0,7273035.0,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
DELL Ryzen 3 Quad Core 5425U,AMD Ryzen 3 Quad Core Processor,8 GB DDR4,Windows 11,512 GB SSD,14.0,4.4,43.0,3.0,7837875.899999999,Dell,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
ASUS TUF Dash F15 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR5,Windows 11,512 GB SSD,15.6,4.5,97.0,10.0,14733090.9,Asus,16,DDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS TUF Gaming F15 (2022) Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR5,Windows 11,512 GB SSD,15.6,4.4,41.0,6.0,17851995.0,Asus,16,DDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,9991449.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS ROG Strix G15 Advantage Edition Ryzen 9 Octa Core AMD R9,AMD Ryzen 9 Octa Core Processor,16 GB DDR4,Windows 10,1 TB SSD,15.6,4.6,265.0,56.0,29279160.9,Asus,16,DDR4,AMD,1 TB,SSD,2,High-Performance (Gaming/Editing)
Lenovo IdeaPad 3 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,4658.0,449.0,7310628.09,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
HP Pavilion Intel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.0,90.0,11.0,14166360.9,Hp,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,1 TB SSD,15.6,4.5,258.0,29.0,12466170.9,Asus,8,DDR4,AMD,1 TB,SSD,0,General Purpose
ASUS Pentium Quad Core,Intel Pentium Quad Core Processor,4 GB DDR4,Windows 10,1 TB HDD,15.6,3.7,3191.0,410.0,4531950.9,Asus,4,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,280.0,21.0,10010340.9,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
APPLE 2020 Macbook Pro M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,256 GB SSD,13.3,4.7,784.0,87.0,21722760.9,Apple,8,DDR4,Apple,256 GB,SSD,0,General Purpose
acer Nitro 5 Ryzen 5 Hexa Core 5600H,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,313.0,31.0,12088350.9,Acer,16,DDR4,AMD,512 GB,SSD,3,Mid-Range (Work/Productivity)
MSI Katana GF66 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,21.0,3.0,15299820.9,Msi,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad 3 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,247.0,21.0,10588216.59,Lenovo,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
HP 15s Intel Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.4,80.0,11.0,7460055.899999999,Hp,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen,Intel Core i9 Processor (12th Gen),32 GB DDR5,Windows 11,1 TB SSD,15.6,5.0,4.0,0.0,53270730.9,Asus,32,DDR5,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,1603.0,184.0,8886137.49,Lenovo,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo IdeaPad 3 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),4 GB DDR4,Windows 11,256 GB SSD,14.0,3.9,13.0,0.0,5962188.51,Lenovo,4,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
ASUS Vivobook 14 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),16 GB DDR4,Windows 11,512 GB SSD,14.0,3.7,13.0,3.0,9254700.9,Asus,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
HP Pavilion Gaming Ryzen 5 Quad Core 3550H,AMD Ryzen 5 Quad Core Processor,8 GB DDR4,Windows 10,1 TB HDD,15.6,4.2,15492.0,2054.0,10388160.9,Hp,8,DDR4,AMD,1 TB,HDD,0,General Purpose
APPLE 2021 Macbook Pro M1 Pro,Apple M1 Pro Processor,16 GB,Mac OS Operating System,1 TB SSD,16.2,4.8,119.0,14.0,46092150.9,Apple,16,,Apple,1 TB,SSD,2,High-Performance (Gaming/Editing)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
DELL Inspiron Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8 GB DDR4,Windows 11,512 GB SSD,15.6,4.2,26.0,2.0,7913439.899999999,Dell,8,DDR4,AMD,512 GB,SSD,1,Budget (School/Basic Use)
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.4,1443.0,248.0,8121240.899999999,Asus,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
MSI Crosshair 15 Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,14.0,1.0,19833660.9,Msi,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo Legion 5 Core i7 10th Gen,Intel Core i7 Processor (10th Gen),16 GB DDR4,Windows 10,512 GB SSD,15.6,4.5,148.0,19.0,16338825.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4,Windows 11,1 TB SSD,15.6,4.8,41.0,8.0,24556410.9,Msi,16,DDR4,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
DELL Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,3.8,5.0,1.0,9991449.9,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 11,1 TB SSD,15.6,5.0,6.0,0.0,27767880.9,Asus,16,DDR4,AMD,1 TB,SSD,2,High-Performance (Gaming/Editing)
HP OMEN Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,16.1,4.8,4.0,0.0,14733090.9,Hp,8,DDR4,AMD,512 GB,SSD,0,General Purpose
Lenovo Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,4 GB DDR4,Windows 10,1 TB HDD,15.6,3.6,84.0,16.0,5948775.899999999,Lenovo,4,DDR4,AMD,1 TB,HDD,1,Budget (School/Basic Use)
acer Swift 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8 GB LPDDR4X,Windows 10,512 GB SSD,14.0,4.5,29.0,6.0,11617965.0,Acer,8,LPDDR4X,AMD,512 GB,SSD,0,General Purpose
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen,Intel Core i9 Processor (12th Gen),32 GB DDR5,Windows 11,1 TB SSD,15.6,4.6,10.0,0.0,43246788.48,Asus,32,DDR5,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
ALIENWARE Core i9 10th Gen,Intel Core i9 Processor (10th Gen),32 GB DDR4,Windows 10,1 TB SSD,15.6,4.6,10.0,3.0,65247624.9,Dell,32,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
DELL Inspiron 7000 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8 GB DDR4,Windows 10,512 GB SSD,14.0,3.8,17.0,3.0,11899440.9,Dell,8,DDR4,Intel,512 GB,SSD,1,Budget (School/Basic Use)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
acer Nitro 5 Ryzen 5 Hexa Core 5600H,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4,Windows 11,1 TB HDD|512 GB SSD,15.6,4.3,222.0,25.0,14355270.9,Acer,16,DDR4,AMD,1 TB,HDD,3,Mid-Range (Work/Productivity)
Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 11,1 TB SSD,16.0,4.7,32.0,5.0,24556221.99,Lenovo,16,DDR4,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
APPLE 2022 MacBook AIR M2,Apple M2 Processor,8 GB,Mac OS Operating System,512 GB SSD,13.6,5.0,8.0,2.0,26445510.9,Apple,8,,Apple,512 GB,SSD,0,General Purpose
HP Pavilion Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,14.0,4.4,288.0,23.0,13032900.9,Hp,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo IdeaPad 3 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.1,87.0,11.0,11804985.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
APPLE 2020 Macbook Air M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,512 GB SSD,13.3,4.6,1149.0,126.0,20778210.9,Apple,8,DDR4,Apple,512 GB,SSD,0,General Purpose
SAMSUNG Galaxy Book2 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X,Windows 11,256 GB SSD,15.6,4.6,82.0,13.0,11710530.9,Samsung,8,LPDDR4X,Intel,256 GB,SSD,0,General Purpose
DELL Inspiron Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.1,31.0,2.0,11521620.9,Dell,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
HP OMEN Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 11,1 TB SSD,16.1,3.8,5.0,1.0,20780100.0,Hp,16,DDR4,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,15.6,4.5,193.0,18.0,14544180.9,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
Infinix INBook X2 Plus Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X,Windows 11,512 GB SSD,15.6,4.2,197.0,43.0,6421050.899999999,Infinix,8,LPDDR4X,Intel,512 GB,SSD,1,Budget (School/Basic Use)
acer Extensa Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,256 GB SSD,15.6,4.4,385.0,34.0,6043230.899999999,Acer,8,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
Lenovo Intel Core i5 11th Gen,Intel Core i5 Processor (11th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.5,14.0,1.0,11899440.9,Lenovo,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
APPLE MacBook Air M1,Apple M1 Processor,8 GB DDR4,Mac OS Operating System,512 GB SSD,13.3,4.7,8865.0,795.0,20778210.9,Apple,8,DDR4,Apple,512 GB,SSD,0,General Purpose
ASUS ROG Zephyrus G15 (2020) Ryzen 9 Octa Core 4900HS,AMD Ryzen 9 Octa Core Processor,16 GB DDR4,Windows 10,1 TB SSD,15.6,4.4,193.0,39.0,24556410.9,Asus,16,DDR4,AMD,1 TB,SSD,3,Mid-Range (Work/Productivity)
Infinix ZERO BOOK Series Laptop Intel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB LPDDR5,Windows 11,512 GB SSD,15.6,4.0,32.0,14.0,9734910.12,Infinix,16,LPDDR5,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
Lenovo V15 G2 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8 GB DDR4,Windows 11,1 TB HDD|256 GB SSD,15.6,4.4,53.0,3.0,7084125.0,Lenovo,8,DDR4,Intel,1 TB,HDD,1,Budget (School/Basic Use)
MSI Pulse GL66 Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.4,136.0,23.0,27221931.0,Msi,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
Infinix INBook X1 Neo Series Celeron Quad Core,Intel Celeron Quad Core Processor,4 GB LPDDR4X,Windows 11,128 GB SSD,14.0,4.2,884.0,151.0,3965220.9,Infinix,4,LPDDR4X,Intel,128 GB,SSD,1,Budget (School/Basic Use)
acer Nitro 5 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.6,13.0,1.0,12467871.09,Acer,8,DDR4,Intel,512 GB,SSD,0,General Purpose
MSI GP66 Leopard Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.6,113.0,27.0,24556410.9,Msi,16,DDR4,Intel,1 TB,SSD,2,High-Performance (Gaming/Editing)
Lenovo Celeron Dual Core,Intel Celeron Dual Core Processor,4 GB LPDDR4,DOS,256 GB HDD|256 GB SSD,15.6,3.7,288.0,26.0,3776310.9,Lenovo,4,LPDDR4,Intel,256 GB,HDD,1,Budget (School/Basic Use)
HP Victus Intel Core i5 12th Gen,Intel Core i5 Processor (12th Gen),8 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,496.0,41.0,12843990.9,Hp,8,DDR4,Intel,512 GB,SSD,0,General Purpose
ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 10,512 GB SSD,17.3,4.5,533.0,93.0,12201696.9,Asus,8,DDR4,AMD,512 GB,SSD,0,General Purpose
acer Nitro 5 Ryzen 7 Octa Core AMD R7,AMD Ryzen 7 Octa Core Processor,16 GB DDR4,Windows 10,1 TB HDD|256 GB SSD,15.6,4.4,497.0,69.0,21781323.0,Acer,16,DDR4,AMD,1 TB,HDD,3,Mid-Range (Work/Productivity)
acer Aspire 7 Core i5 12th Gen,Intel Core i5 Processor (12th Gen),16 GB DDR4,Windows 11,512 GB SSD,15.6,4.3,3065.0,354.0,11710530.9,Acer,16,DDR4,Intel,512 GB,SSD,3,Mid-Range (Work/Productivity)
acer Aspire 3 Pentium Silver,Intel Pentium Silver Processor,4 GB DDR4,Windows 11,256 GB SSD,14.0,4.2,19.0,2.0,5004225.9,Acer,4,DDR4,Intel,256 GB,SSD,1,Budget (School/Basic Use)
MSI Pulse GL66 Core i7 11th Gen,Intel Core i7 Processor (11th Gen),16 GB DDR4,Windows 10,1 TB SSD,15.6,4.5,153.0,25.0,21722760.9,Msi,16,DDR4,Intel,1 TB,SSD,3,Mid-Range (Work/Productivity)
ASUS TUF Gaming F17 (2022) Core i7 12th Gen,Intel Core i7 Processor (12th Gen),16 GB DDR5,Windows 11,1 TB SSD,17.3,3.9,12.0,0.0,21722760.9,Asus,16,DDR5,Intel,1 TB,SSD,3,Mid-Range (Work/Productivity)
DELL Ryzen 5 Hexa Core 5625U,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4,Windows 11,512 GB SSD,16.0,4.7,7.0,2.0,11332710.9,Dell,8,DDR4,AMD,512 GB,SSD,0,General Purpose
